reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
555d4d47-5e59-4adf-a75d-1de8df12ced7,Beta,https://play-lh.googleusercontent.com/a-/ACB-R5TnLoC1bMjPXsbhG4mTww4f8LAGDrcEHmHGlie_Ig,"Saya heran sama toped,saya pesan barang dengan pengiriman instan,tapi sampai 2 hari barangnya belum datang.Saya komplain,tapi hari ke 3 pesanan sudah selesai,dan dananya sudah masuk ke penjual.Padahal saya belum terima barangnya sama sekali.",1,0,,2022-03-26 04:10:25,"Hai Kak Beta, mohon maaf atas ketidaknyamanannya. Silahkan Kakak bisa sampaikan detail kendalanya melalui tkp.me/supportMainapps untuk Kami bantu penanganan lebih lanjut ya -ZS",2022-03-26 04:33:32
293de421-1291-499a-b875-933e3e46a13d,Motor Honda Bandung,https://play-lh.googleusercontent.com/a-/ACB-R5SRb6dk8ik97szocDuWLUAQ40wiwYEtNxB9_8tD8g,ga bisa ganti username.....payah,1,0,,2022-08-26 16:58:35,"Hai Toppers, mohon maaf kalau ada yang membuat Kakak tidak nyaman. Jika Kakak mempunyai kendala seputar Tokopedia, Kakak bisa hubungi Tokopedia melalui link berikut ya tkp.me/supportMainapps untuk pengecekan lebih lanjut. -YFF",2022-08-26 17:19:30
6d60f41c-3269-4655-abcf-91855aa1087a,Dhamis Akbar Haka,https://play-lh.googleusercontent.com/a-/ACB-R5Q4MVkkZ28LaA1RIsRP7vwXWs5XOwUuP5EsHO-H,BELAIN belanja ngga penting demi istri nyidam card BTS beli transaksi udah waktu yang tepat 15.00 nyatanya zonk 👎 Marketing tipu tipu penjualan emang pinter,1,0,3.138,2021-09-03 10:41:30,"Hai Kak Dhamis, mohon maaf atas pengalaman bertransaksinya yang berkendala ya Kak. Boleh sampaikan detail kendalanya melalui tkp.me/supportMainapps ya Kak untuk dibantu pengecekan lebih lanjut. Terima kasih -FK",2021-09-03 11:09:11
fd292f4a-5ea8-437d-b21b-d7ce223d5718,Mr baroen,https://play-lh.googleusercontent.com/a-/ACB-R5QEhKUEnFI8oD71y4u-ala891M7wFK2-XTyrmttGQ,ok,1,0,3.137,2021-08-19 10:31:45,"Terima kasih atas penilaian yang kamu berikan. Besar harapan kami kamu bisa memberikan rating dan review yang lebih baik lagi. Tokopedia akan senantiasa berusaha untuk memberikan pelayanan dan pengalaman terbaik bagi seluruh pengguna. Kalau ada kritik, saran atau kendala di Tokopedia, jangan ragu untuk menghubungi Tokopedia care ya, Toppers.",2021-08-19 11:03:15
bb7e8188-ed7f-4200-bf91-735cc9c8d741,M Fatur,https://play-lh.googleusercontent.com/a/AGNmyxZ4ld1qI3y8SHG0ipPwqBIfOhUhZr0UaCJ-Fjos=mo,kebanyakan bohong nya tadi nya mau beli di Tokopedia cuman gajadi ah banyak bohong nya,1,0,3.138,2021-08-24 00:54:45,"Hai Kak M Fatur, mohon maaf ya jika ada yang membuat Kakak tidak nyaman. Hal ini tentu menjadi pelajaran bagi kami untuk senantiasa memberikan pelayanan yang terbaik pada setiap transaksi Kakak. Besar harapan kami untuk bisa terus tumbuh bersama Kakak dan tetap menjadi tempat bertransaksi online kepercayaan. -AES",2021-08-24 01:07:04
3357bdca-3fa3-485e-b439-bf1e86e26a8d,Edi Jaya,https://play-lh.googleusercontent.com/a/AGNmyxaIuybJHzzY6JYR1M_XMBjmfGzi6t0JaOm2l30b=mo,Penipu,1,0,,2021-08-27 05:15:31,"Terima kasih atas penilaian yang kamu berikan. Besar harapan kami kamu bisa memberikan rating dan review yang lebih baik lagi. Tokopedia akan senantiasa berusaha untuk memberikan pelayanan dan pengalaman terbaik bagi seluruh pengguna. Kalau ada kritik, saran atau kendala di Tokopedia, jangan ragu untuk menghubungi Tokopedia care ya, Toppers.",2021-08-27 05:25:39
e5471698-b2d1-48de-9a37-e114e8316ca8,Mama Ajfi,https://play-lh.googleusercontent.com/a/AGNmyxY1fZhRRJJsKQrh2CIoGi9XtwEUoUsyfbEBaKem=mo,skrg gabisa pake vocer kalo mau gratong hhh,1,0,3.197,2022-11-09 09:19:52,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2022-11-09 09:37:05
f965f71a-f782-4e27-85cd-23833a0337e0,Andika Putra Pratama,https://play-lh.googleusercontent.com/a-/ACB-R5Qyv2EnoQEmeGX-84R2tRMUOB2EQE7LiP2_7YLHmw,PESANAN SAYA TIDAK DIKIRIM KIRIM !! SUDAH 2 HARI. SEDANGAKAN SAYA PESAN DI SHOPEE 1 HARI DIKIRIM. SAYA COMPLAIN KE IG TOKPEDIA TIDAK DI RESPON. SAYA BELI DI TOKOPEDIA OFFICIAL TOKO WARNA UNGU,1,0,,2021-09-12 06:01:57,Hai Kak Andika. Mohon maaf atas ketidaknyamanannya ya Kak. Untuk detail kendalanya Kakak bisa sampaikan melalui link berikut tkp.me/supportMainapps.-DA,2021-09-12 06:06:19
f0b3a10c-7232-41a7-8d1d-6afa707d5400,Ari Rizki wirya,https://play-lh.googleusercontent.com/a/AGNmyxZlcII1MtH1IiHTmI8b2KG0X_Nu4u-x3hQxda3l=mo,Toko pedia menipu saya dapet notip di google 780rb .dan harus memilih kotak setelah saya pilih dan kotak nya berhasil saya dapet 780rb tapi harus download aplikasi toko pedia dulu setelah sama install ternyata zonk. Jangan menipu ya admin kita orang biasa bukan orang kaya kalo mau kasih orang kaya aja yg Kouta nya banyak,1,3,3.130,2021-06-30 13:05:59,,
5285e2d8-71f6-4393-b9b3-2eff6fd10f49,Dimas Mahesa,https://play-lh.googleusercontent.com/a/AGNmyxZP0UmHwc2KuKkJZBofIIeN64iJ0nVY-Tm4LWpe=mo,Saya pengguna baru tokopedia belanja rp 0 selalu dibatalkan kan kecewa,1,0,,2022-02-02 05:48:02,,
